DATE,NEW_DATE,DATE_STRING,AVG_WIND,PRECIP,SNOW_TOTAL,SNOW_DEPTH,MAX_TEMP,MIN_TEMP,FOG,THUNDER,ICE,HAIL,HAZE_SMOKE,BLW_SNOW,HIGH_WIND,DRIZZLE,RAIN,SNOW
2010-02-16,2010-02-16T00:00:00Z,16 February 2010,5.59,0.43,5,6,33,29,Yes,No,No,No,Yes,No,No,No,Yes,Yes
2010-02-17,2010-02-17T00:00:00Z,17 February 2010,8.05,0,0,10,35,26,No,No,No,No,No,No,No,No,No,No
2010-02-18,2010-02-18T00:00:00Z,18 February 2010,10.07,0,0,8,40,32,No,No,No,No,No,No,No,No,No,No
2010-02-19,2010-02-19T00:00:00Z,19 February 2010,11.41,0,0,6,43,35,No,No,No,No,No,No,No,No,No,No
2010-02-20,2010-02-20T00:00:00Z,20 February 2010,8.05,0,0,4,44,35,No,No,No,No,No,No,No,No,No,No
2010-02-21,2010-02-21T00:00:00Z,21 February 2010,9.62,0,0,3,46,33,No,No,No,No,No,No,No,No,No,No
2010-02-22,2010-02-22T00:00:00Z,22 February 2010,6.04,0.03,0,0,45,29,No,No,No,No,No,No,No,No,Yes,No
2010-02-23,2010-02-23T00:00:00Z,23 February 2010,14.09,1.2,0,0,38,35,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-02-24,2010-02-24T00:00:00Z,24 February 2010,7.83,0.42,0,0,42,36,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-02-25,2010-02-25T00:00:00Z,25 February 2010,3.36,2,9.4,0,38,27,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes
2010-02-26,2010-02-26T00:00:00Z,26 February 2010,6.93,1.17,11.5,14,33,26,Yes,No,No,No,No,Yes,No,No,Yes,Yes
2010-02-27,2010-02-27T00:00:00Z,27 February 2010,4.47,0.01,0,21,38,29,Yes,No,No,No,No,No,No,No,Yes,Yes
2010-02-28,2010-02-28T00:00:00Z,28 February 2010,3.8,0,0,15,40,33,No,No,No,No,No,No,No,No,No,Yes
2010-03-01,2010-03-01T00:00:00Z,01 March 2010,9.84,0,0,11,48,36,No,No,No,No,No,No,No,No,No,No
2010-03-02,2010-03-02T00:00:00Z,02 March 2010,5.37,0.01,0,7,47,36,No,No,No,No,No,No,No,No,Yes,No
2010-03-03,2010-03-03T00:00:00Z,03 March 2010,10.51,0.07,0,4,41,34,Yes,No,No,No,No,No,No,No,Yes,Yes
2010-03-04,2010-03-04T00:00:00Z,04 March 2010,7.83,0,0,0,47,35,No,No,No,No,No,No,No,No,No,No
2010-03-05,2010-03-05T00:00:00Z,05 March 2010,7.61,0,0,0,49,34,No,No,No,No,Yes,No,No,No,No,No
2010-03-06,2010-03-06T00:00:00Z,06 March 2010,7.16,0,0,0,54,32,No,No,No,No,No,No,No,No,No,No
2010-03-07,2010-03-07T00:00:00Z,07 March 2010,7.16,0,0,0,57,37,No,No,No,No,No,No,No,No,No,No
2010-03-08,2010-03-08T00:00:00Z,08 March 2010,7.16,0,0,0,61,41,No,No,No,No,No,No,No,No,No,No
2010-03-09,2010-03-09T00:00:00Z,09 March 2010,4.47,0,0,0,61,44,No,No,No,No,No,No,No,No,No,No
2010-03-10,2010-03-10T00:00:00Z,10 March 2010,4.92,0,0,0,57,44,No,No,No,No,No,No,No,No,No,No
2010-03-11,2010-03-11T00:00:00Z,11 March 2010,8.95,0,0,0,53,42,No,No,No,No,No,No,No,No,No,No
2010-03-12,2010-03-12T00:00:00Z,12 March 2010,13.87,0.21,0,0,43,39,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-03-13,2010-03-13T00:00:00Z,13 March 2010,22.82,3.86,0,0,46,38,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-14,2010-03-14T00:00:00Z,14 March 2010,13.65,0.24,0,0,50,43,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-03-15,2010-03-15T00:00:00Z,15 March 2010,11.63,0.33,0,0,46,41,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-03-16,2010-03-16T00:00:00Z,16 March 2010,7.61,0,0,0,63,41,No,No,No,No,No,No,No,No,Yes,No
2010-03-17,2010-03-17T00:00:00Z,17 March 2010,2.46,0,0,0,66,43,No,No,No,No,No,No,No,No,No,No
2010-03-18,2010-03-18T00:00:00Z,18 March 2010,3.36,0,0,0,69,50,No,No,No,No,No,No,No,No,No,No
2010-03-19,2010-03-19T00:00:00Z,19 March 2010,3.36,0,0,0,72,49,No,No,No,No,No,No,No,No,No,No
2010-03-20,2010-03-20T00:00:00Z,20 March 2010,4.92,0,0,0,74,54,No,No,No,No,No,No,No,No,No,No
2010-03-21,2010-03-21T00:00:00Z,21 March 2010,6.49,0,0,0,64,51,No,No,No,No,No,No,No,No,No,No
2010-03-22,2010-03-22T00:00:00Z,22 March 2010,5.59,1.34,0,0,57,50,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-23,2010-03-23T00:00:00Z,23 March 2010,6.04,0.11,0,0,53,45,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-24,2010-03-24T00:00:00Z,24 March 2010,11.63,0,0,0,60,43,No,No,No,No,No,No,No,No,No,No
2010-03-25,2010-03-25T00:00:00Z,25 March 2010,4.25,0,0,0,62,48,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-26,2010-03-26T00:00:00Z,26 March 2010,10.51,0.14,0,0,52,34,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-27,2010-03-27T00:00:00Z,27 March 2010,7.61,0,0,0,44,29,No,No,No,No,No,No,No,No,No,No
2010-03-28,2010-03-28T00:00:00Z,28 March 2010,8.05,0.34,0,0,49,36,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-29,2010-03-29T00:00:00Z,29 March 2010,6.49,1.58,0,0,53,48,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-30,2010-03-30T00:00:00Z,30 March 2010,10.74,2.45,0,0,50,41,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-03-31,2010-03-31T00:00:00Z,31 March 2010,5.82,0.01,0,0,57,45,Yes,No,No,No,No,No,No,No,Yes,No
2010-04-01,2010-04-01T00:00:00Z,01 April 2010,4.7,0,0,0,70,48,No,No,No,No,No,No,No,No,No,No
2010-04-02,2010-04-02T00:00:00Z,02 April 2010,4.47,0,0,0,68,48,No,No,No,No,No,No,No,No,No,No
2010-04-03,2010-04-03T00:00:00Z,03 April 2010,4.92,0,0,0,67,47,Yes,No,No,No,No,No,No,No,No,No
2010-04-04,2010-04-04T00:00:00Z,04 April 2010,2.68,0,0,0,76,47,Yes,No,No,No,Yes,No,No,No,No,No
2010-04-05,2010-04-05T00:00:00Z,05 April 2010,6.49,0,0,0,75,56,No,No,No,No,No,No,No,No,No,No
2010-04-06,2010-04-06T00:00:00Z,06 April 2010,4.03,0,0,0,78,58,No,No,No,No,Yes,No,No,No,No,No
2010-04-07,2010-04-07T00:00:00Z,07 April 2010,6.93,0,0,0,92,56,No,No,No,No,Yes,No,No,No,No,No
2010-04-08,2010-04-08T00:00:00Z,08 April 2010,6.26,0,0,0,80,64,No,No,No,No,No,No,No,No,No,No
2010-04-09,2010-04-09T00:00:00Z,09 April 2010,7.61,0.3,0,0,68,44,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-04-10,2010-04-10T00:00:00Z,10 April 2010,9.84,0,0,0,62,42,No,No,No,No,No,No,No,No,No,No
2010-04-11,2010-04-11T00:00:00Z,11 April 2010,6.71,0,0,0,76,52,No,No,No,No,No,No,No,No,No,No
2010-04-12,2010-04-12T00:00:00Z,12 April 2010,5.37,0,0,0,67,52,No,No,No,No,No,No,No,No,No,No
2010-04-13,2010-04-13T00:00:00Z,13 April 2010,4.92,0,0,0,56,47,No,No,No,No,No,No,No,No,No,No
2010-04-14,2010-04-14T00:00:00Z,14 April 2010,5.14,0,0,0,67,45,No,No,No,No,No,No,No,No,No,No
2010-04-15,2010-04-15T00:00:00Z,15 April 2010,6.71,0,0,0,73,50,No,No,No,No,No,No,No,No,No,No
2010-04-16,2010-04-16T00:00:00Z,16 April 2010,7.38,0.31,0,0,57,46,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-04-17,2010-04-17T00:00:00Z,17 April 2010,6.71,0.01,0,0,54,46,Yes,No,No,No,No,No,No,No,Yes,No
2010-04-18,2010-04-18T00:00:00Z,18 April 2010,7.16,0,0,0,57,42,No,No,No,No,No,No,No,No,No,No
2010-04-19,2010-04-19T00:00:00Z,19 April 2010,6.93,0,0,0,63,46,No,No,No,No,No,No,No,No,No,No
2010-04-20,2010-04-20T00:00:00Z,20 April 2010,4.92,0,0,0,70,47,No,No,No,No,No,No,No,No,No,No
2010-04-21,2010-04-21T00:00:00Z,21 April 2010,6.71,0.03,0,0,69,53,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-04-22,2010-04-22T00:00:00Z,22 April 2010,5.82,0,0,0,72,51,Yes,No,No,No,Yes,No,No,No,Yes,No
2010-04-23,2010-04-23T00:00:00Z,23 April 2010,6.49,0,0,0,68,44,No,No,No,No,No,No,No,No,No,No
2010-04-24,2010-04-24T00:00:00Z,24 April 2010,5.59,0,0,0,68,46,No,No,No,Yes,No,No,No,No,Yes,No
2010-04-25,2010-04-25T00:00:00Z,25 April 2010,6.93,1.6,0,0,52,46,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-04-26,2010-04-26T00:00:00Z,26 April 2010,8.05,0.69,0,0,53,48,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-04-27,2010-04-27T00:00:00Z,27 April 2010,7.38,0.05,0,0,58,41,Yes,No,No,No,No,No,No,No,Yes,No
