station_id,station_name,station_latitude,station_longitude
317,E 6 St & Avenue B,40.72453734,-73.98185424
341,Stanton St & Mangin St,40.71782143,-73.97628939
499,Broadway & W 60 St,40.76915505,-73.98191841
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
348,W Broadway & Spring St,40.72490985,-74.00154702
349,Rivington St & Ridge St,40.71850211,-73.98329859
248,Laight St & Hudson St,40.72185379,-74.00771779
528,2 Ave & E 31 St,40.74290902,-73.97706058
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
450,W 49 St & 8 Ave,40.76227205,-73.98788205
458,11 Ave & W 27 St,40.751396,-74.005226
520,W 52 St & 5 Ave,40.75992262,-73.97648516
380,W 4 St & 7 Ave S,40.73401143,-74.00293877
285,Broadway & E 14 St,40.73454567,-73.99074142
253,W 13 St & 5 Ave,40.73543934,-73.99453948
153,E 40 St & 5 Ave,40.752062307,-73.9816324043
398,Atlantic Ave & Furman St,40.69165183,-73.9999786
496,E 16 St & 5 Ave,40.73726186,-73.99238967
517,E 41 St & Madison Ave,40.752141,-73.979782
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107
2012,E 27 St & 1 Ave,40.739445,-73.976806
491,E 24 St & Park Ave S,40.74096374,-73.98602213
475,E 16 St & Irving Pl,40.73524276,-73.98758561
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
350,Clinton St & Grand St,40.71559509,-73.9870295
537,Lexington Ave & E 24 St,40.74025878,-73.98409214
146,Hudson St & Reade St,40.71625008,-74.0091059
249,Harrison St & Hudson St,40.71870987,-74.0090009
478,11 Ave & W 41 St,40.76030096,-73.99884222
410,Suffolk St & Stanton St,40.72066442,-73.98517977
278,Concord St & Bridge St,40.69766564,-73.98476437
137,E 56 St & Madison Ave,40.761628,-73.972924
484,W 44 St & 5 Ave,40.75500254,-73.98014437
151,Cleveland Pl & Spring St,40.7218158,-73.99720307
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
263,Elizabeth St & Hester St,40.71729,-73.996375
252,MacDougal St & Washington Sq,40.73226398,-73.99852205
483,E 12 St & 3 Ave,40.73223272,-73.98889957
314,Montague St & Clinton St,40.69424674,-73.99215922
516,E 47 St & 1 Ave,40.75206862,-73.96784384
482,W 15 St & 7 Ave,40.73935542,-73.99931783
293,Lafayette St & E 8 St,40.73028666,-73.9907647
312,Allen St & E Houston St,40.722055,-73.989111
267,Broadway & W 36 St,40.75097711,-73.98765428
489,10 Ave & W 28 St,40.75066386,-74.00176802
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945
164,E 47 St & 2 Ave,40.75323098,-73.97032517
522,E 51 St & Lexington Ave,40.75714758,-73.97207836
271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813
239,Willoughby St & Fleet St,40.69196566,-73.9813018
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059
459,W 20 St & 11 Ave,40.746745,-74.007756
417,Barclay St & Church St,40.71291224,-74.01020234
545,E 23 St & 1 Ave,40.736502,-73.97809472
228,E 48 St & 3 Ave,40.7546011026,-73.971878855
300,Shevchenko Pl & E 6 St,40.728145,-73.990214
400,Pitt St & Stanton St,40.71926081,-73.98178024
517,Pershing Square S,40.75149263,-73.97798848
265,Stanton St & Chrystie St,40.72229346,-73.99147535
447,8 Ave & W 52 St,40.76370739,-73.9851615
383,Greenwich Ave & Charles St,40.735238,-74.000271
347,W Houston St & Hudson St,40.72873888,-74.00748842
493,W 45 St & 6 Ave,40.7568001,-73.98291153
453,W 22 St & 8 Ave,40.74475148,-73.99915362
448,W 37 St & 10 Ave,40.75660359,-73.9979009
2021,W 45 St & 8 Ave,40.75929124,-73.98859651
152,Warren St & Church St,40.71473993,-74.00910627
386,Centre St & Worth St,40.71494807,-74.00234482
339,Avenue D & E 12 St,40.72580614,-73.97422494
439,E 4 St & 2 Ave,40.7262807,-73.98978041
357,E 11 St & Broadway,40.73261787,-73.99158043
472,E 32 St & Park Ave,40.7457121,-73.98194829
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
2008,Little West St & 1 Pl,40.70569254,-74.01677685
217,Old Fulton St,40.70277159,-73.99383605
435,W 21 St & 6 Ave,40.74173969,-73.99415556
394,E 9 St & Avenue C,40.72521311,-73.97768752
466,W 25 St & 6 Ave,40.74395411,-73.99144871
530,11 Ave & W 59 St,40.771522,-73.990541
342,Columbia St & Rivington St,40.71739973,-73.98016555
361,Allen St & Hester St,40.71605866,-73.99190759
510,W 51 St & 6 Ave,40.7606597,-73.98042047
495,W 47 St & 10 Ave,40.76269882,-73.99301222
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
328,Watts St & Greenwich St,40.72405549,-74.00965965
521,8 Ave & W 31 St,40.75044999,-73.99481051
275,Washington Ave & Greene Ave,40.68650065,-73.96563307
310,State St & Smith St,40.68926942,-73.98912867
307,Canal St & Rutgers St,40.71427487,-73.98990025
360,William St & Pine St,40.70717936,-74.00887308
412,Forsyth St & Canal St,40.7158155,-73.99422366
529,W 42 St & 8 Ave,40.7575699,-73.99098507
225,W 14 St & The High Line,40.74195138,-74.00803013
261,Johnson St & Gold St,40.69474881,-73.98362464
